subject = 32; date = 2017_Feb_09_1411;gender = male;age =21; native language = English
taskOrder = [1, 2, 4, 3, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is Big Ben taller or shorter than 15 meters high?,shorter,2359.25021252
taskNr,trial,type,stimulus,response,RT
1,1,word,ducati,no,596.912119974
1,2,word,kick,yes,681.604600628
1,3,word,oxford,yes,426.909377449
1,4,word,aldi,no,479.116883536
1,5,word,accurate,yes,360.517704685
1,6,word,asda,no,542.717564764
1,7,word,abandon,yes,485.416712996
1,8,word,favourite,yes,390.893328236
1,9,nonword,swawte,no,691.701204807
1,10,word,pathetic,yes,500.995805254
1,11,word,twin,yes,397.09879423
1,12,nonword,skreets,yes,426.605760906
1,13,word,hoover,yes,614.116202167
1,14,nonword,quoud,no,682.137711352
1,15,word,nescafe,yes,595.35526557
1,16,word,horizontal,yes,472.022804606
1,17,word,cure,yes,505.508715927
1,18,word,mechanic,yes,393.652390136
1,19,nonword,lawpth,no,487.103566615
1,20,word,snickers,yes,463.910398626
1,21,word,capacity,yes,434.660009341
1,22,word,manchester,yes,389.436539001
1,23,word,cabbage,yes,362.275259627
1,24,word,land,yes,377.190956846
1,25,word,mercy,yes,335.350316484
1,26,word,detective,yes,278.979700175
1,27,word,hold,yes,328.582660964
1,28,word,graduate,yes,448.122053291
1,29,word,pony,yes,442.922370537
1,30,nonword,bleafs,no,981.705178943
1,31,word,brim,yes,522.780648607
1,32,nonword,spleace,no,570.151386346
1,33,word,advice,yes,463.517835247
1,34,word,path,yes,514.291929139
1,35,word,eternal,yes,450.435525825
1,36,word,errand,yes,357.204435713
1,37,word,noun,yes,315.409124014
1,38,word,ornament,yes,378.969037964
1,39,word,gravity,yes,385.210709879
1,40,word,flock,yes,438.035427069
1,41,word,haddock,yes,425.474539836
1,42,word,butterfly,yes,325.002836616
1,43,word,desire,yes,460.522437119
1,44,word,moment,yes,375.378095254
1,45,nonword,wrarve,no,557.533196814
1,46,nonword,brule,no,540.265540476
1,47,word,whisky,yes,403.662613302
1,48,word,gracious,yes,424.545444723
1,49,word,butcher,yes,427.97445858
1,50,nonword,phroarlte,no,464.121362224
1,51,word,absolute,yes,562.292706862
1,52,word,kleenex,yes,488.989980367
1,53,word,robot,yes,394.414424896
1,54,nonword,furge,yes,359.298392053
1,55,nonword,duntz,no,494.158018584
1,56,nonword,vourque,no,471.608574706
1,57,word,inferno,yes,569.022731041
1,58,word,jaw,yes,446.376757056
1,59,word,infant,yes,409.88318887
1,60,word,advantage,yes,437.97812477
1,61,word,lantern,yes,457.552126521
1,62,word,turnip,yes,683.621868811
1,63,word,expression,yes,428.941470134
1,64,word,feet,yes,696.415386221
1,65,word,fantasy,yes,425.013555854
1,66,nonword,flewd,yes,373.147582723
1,67,nonword,thrauphth,no,474.750792113
1,68,word,where,yes,500.809929188
1,69,word,doorway,yes,500.944204687
1,70,word,carlsberg,yes,645.661248302
taskNr,question,response,RT
1,How tall is Big Ben?,150,8625.8856908
taskNr,trial,stimulus,response,RT
1,1,xsfr,xsfr,4136.69187395
1,2,bksvg,bksvg,4303.37193966
1,3,ctxbsw,ctxbsw,2952.44481164
1,4,wctxjfr,wctxjfr,3853.12742146
taskNr,question,response,RT
2,Is the M25 longer or shorter than 600 miles?,shorter,7790.58184332
taskNr,trial,type,stimulus,response,RT
2,1,word,water,yes,489.976947953
2,2,nonword,skrife,no,578.73247363
2,3,nonword,squarl,no,544.101942185
2,4,word,incident,yes,646.807293873
2,5,word,waitrose ,yes,569.46546954
2,6,word,pond,yes,382.793180965
2,7,word,ability,yes,355.617362191
2,8,nonword,thalck,no,481.856559578
2,9,word,merry,yes,378.61866731
2,10,word,kid,yes,368.15230659
2,11,word,twix,yes,413.675972435
2,12,word,actual,yes,449.833139166
2,13,word,evidence,yes,355.96516708
2,14,word,cathedral,yes,466.187665239
2,15,word,bush,yes,419.567273726
2,16,nonword,ghroil,no,503.105726384
2,17,word,tarnish,yes,415.163550962
2,18,word,exhaustion,yes,362.658985308
2,19,word,part,yes,368.85333297
2,20,word,harbour,yes,390.382454207
2,21,word,liverpool,yes,387.253920955
2,22,word,gratitude,yes,376.079121605
2,23,word,gorilla,yes,357.578753552
2,24,word,jog,yes,355.796111107
2,25,nonword,gnuicked,yes,353.97868813
2,26,nonword,teigged,no,368.176538905
2,27,nonword,bloage,yes,405.71865323
2,28,word,brutality,yes,321.861759527
2,29,nonword,semmed,yes,601.449833135
2,30,nonword,scruilds,no,437.432185194
2,31,word,tesco,yes,544.252467575
2,32,word,which,yes,414.969977603
2,33,word,cube,yes,387.130763789
2,34,word,raspberry,yes,463.973402599
2,35,word,turn,yes,826.070768584
2,36,word,essay,yes,413.252619794
2,37,nonword,drufe,no,473.429133621
2,38,word,kenco,yes,418.83289229
2,39,word,flood,yes,550.324798416
2,40,word,modern,yes,396.372680349
2,41,word,dependable,yes,497.209008492
2,42,word,ikea,yes,385.985288449
2,43,word,patient,yes,414.826864435
2,44,word,graze,yes,411.005857371
2,45,word,andrex,no,607.138438325
2,46,nonword,garphed,yes,547.150366328
2,47,word,cambridge,yes,673.856534471
2,48,word,fell,yes,763.16284624
2,49,word,dreamer,yes,489.016778447
2,50,word,describe,yes,433.784795459
2,51,word,always,yes,340.616709349
2,52,word,adventurer,yes,507.49205891
2,53,word,fidgety,yes,643.544485094
2,54,word,lamp,yes,390.18945102
2,55,word,heineken,yes,363.032447931
2,56,word,against,yes,417.24097234
2,57,nonword,phlourche,yes,364.729564637
2,58,word,candle,yes,490.92827976
2,59,word,hood,yes,491.719393322
2,60,nonword,tomps,no,604.413586756
2,61,word,laundry,yes,1136.40906868
2,62,word,orchestra,yes,430.693323346
2,63,word,farmyard,yes,314.168144832
2,64,word,note,yes,338.424683432
2,65,word,hostility,yes,529.290301318
2,66,word,smarties,yes,272.697546025
2,67,word,butler,yes,266.334997694
2,68,word,insect,yes,243.938359839
2,69,nonword,skups,yes,302.849092026
2,70,word,medicine,yes,415.044670139
taskNr,question,response,RT
2,How long is the M25?,300,5390.4189452
taskNr,trial,stimulus,response,RT
2,1,nsml,nsml,1985.07289935
2,2,msvlx,msvlx,2168.5359753
2,3,jkxbgf,jkxbgf,3702.98519207
2,4,glzcfrj,glxgfrj,3502.90017942
taskNr,trial,type,stimulus,response,RT
3,1,practice,carrier,yes,1595.17081495
3,2,practice,carnival,yes,391.066660522
3,3,practice,germany,yes,339.968423883
3,4,practice,portsmouth,yes,370.822421653
3,5,practice,scrape,yes,440.352890786
3,6,practice,involve,yes,379.137238662
3,7,practice,dancer,yes,376.694052014
3,8,practice,thonz,no,470.208802639
3,9,practice,shrinths,no,679.583626246
3,10,practice,click,yes,512.903845636
3,11,inexpensive,kia,yes,352.994856483
3,12,nonword,jouche,yes,407.152065425
3,13,inexpensive,hyundai,no,539.349844359
3,14,expensive,bentley,yes,466.058521299
3,15,neutral,bait,yes,419.516813534
3,16,expensive,limousine,yes,447.007082083
3,17,neutral,forest,yes,401.783326699
3,18,neutral,crop,yes,421.969122923
3,19,neutral,piece,yes,433.451815072
3,20,nonword,sowntse,no,596.224777721
3,21,nonword,durpths,yes,528.929382475
3,22,expensive,porsche,yes,472.355499922
3,23,inexpensive,nissan,yes,481.787853845
3,24,neutral,bottle,yes,459.182533115
3,25,inexpensive,citroen,no,597.332051606
3,26,neutral,diary,yes,649.989423313
3,27,inexpensive,peugeot,no,547.970558604
3,28,neutral,ordinate,no,698.67754326
3,29,nonword,kulced,yes,530.603692343
3,30,nonword,dwoacsed,no,434.058763058
3,31,neutral,cotton,yes,436.781904136
3,32,neutral,drone,yes,551.611676434
3,33,neutral,candle,yes,373.685254861
3,34,neutral,stapler,yes,467.186891503
3,35,neutral,costume,yes,492.621405283
3,36,neutral,time,yes,397.363639117
