subject = 48; date = 2017_Feb_09_1411;gender = male;age =21; native language = English
taskOrder = [2, 1, 4, 3, 5]; responses (Q/blue,P/yellow) = ['yes', 'no']
taskNr,question,response,RT
1,Is the M25 longer or shorter than 600 miles?,shorter,4066.53144024
taskNr,trial,type,stimulus,response,RT
1,1,word,brutality,yes,578.31139816
1,2,word,heineken,yes,640.413433779
1,3,word,andrex,yes,579.718304798
1,4,word,cambridge,yes,433.140567038
1,5,word,merry,yes,356.605406385
1,6,word,butler,yes,411.494443193
1,7,word,hood,yes,455.714365002
1,8,word,cube,yes,409.854334313
1,9,word,farmyard,yes,510.703182779
1,10,nonword,teigged,no,566.790441982
1,11,word,kid,yes,380.154203624
1,12,word,flood,yes,450.416869484
1,13,nonword,ghroil,no,580.525957979
1,14,nonword,drufe,no,553.899070248
1,15,nonword,thalck,no,487.969449721
1,16,nonword,skups,no,520.751662087
1,17,word,adventurer,yes,1016.76400006
1,18,word,incident,yes,588.49899983
1,19,word,cathedral,yes,489.906334784
1,20,word,turn,yes,386.695536785
1,21,word,liverpool,yes,448.26702401
1,22,nonword,bloage,no,539.028336294
1,23,word,dreamer,yes,482.431910466
1,24,nonword,phlourche,no,595.233906992
1,25,word,which,yes,408.615629189
1,26,word,raspberry,no,429.464648478
1,27,word,pond,yes,489.000041503
1,28,word,fell,yes,465.711243451
1,29,word,modern,yes,443.219835404
1,30,word,laundry,yes,542.014342733
1,31,word,ability,yes,436.712712981
1,32,word,hostility,yes,543.536424637
1,33,word,harbour,yes,502.299088053
1,34,word,water,yes,471.106524579
1,35,word,tesco,yes,457.221337594
1,36,word,kenco,yes,723.359642085
1,37,word,dependable,yes,563.314084895
1,38,nonword,gnuicked,no,530.044659041
1,39,word,actual,yes,513.464825228
1,40,word,tarnish,yes,569.606536534
1,41,word,bush,yes,542.93460492
1,42,nonword,tomps,no,789.672705345
1,43,word,medicine,yes,490.851114504
1,44,word,twix,yes,516.33622637
1,45,nonword,squarl,no,603.774558287
1,46,word,waitrose ,yes,424.431713764
1,47,word,gratitude,yes,547.961838543
1,48,word,note,yes,386.665887665
1,49,word,candle,yes,391.553427558
1,50,word,lamp,yes,396.397919394
1,51,word,essay,yes,393.970684148
1,52,nonword,semmed,no,926.846262533
1,53,word,gorilla,yes,501.874307636
1,54,nonword,garphed,no,582.015255
1,55,word,smarties,yes,466.728720814
1,56,word,evidence,yes,428.165504709
1,57,nonword,scruilds,no,623.677942436
1,58,nonword,skrife,no,619.693844579
1,59,word,part,yes,543.693793472
1,60,word,against,yes,559.096500743
1,61,word,patient,yes,509.1126794
1,62,word,orchestra,yes,573.238551151
1,63,word,fidgety,yes,962.598230224
1,64,word,exhaustion,yes,448.390182108
1,65,word,always,yes,371.163399424
1,66,word,insect,yes,473.365272861
1,67,word,graze,yes,650.871583726
1,68,word,jog,yes,453.47471768
1,69,word,ikea,yes,352.344773244
1,70,word,describe,yes,438.522733282
taskNr,question,response,RT
1,How long is the M25?,350,8913.95717161
taskNr,trial,stimulus,response,RT
1,1,lxgd,xgd,18931.1257107
1,2,mtnzx,mtnzx,4870.59222627
1,3,ksgmlc,ksgmlc,4103.32027171
1,4,stwcfgh,stwcfgh,4303.47079784
taskNr,question,response,RT
2,Is Big Ben taller or shorter than 15 meters high?,taller,10017.1468728
taskNr,trial,type,stimulus,response,RT
2,1,word,whisky,yes,585.553761106
2,2,word,path,yes,438.274707645
2,3,word,detective,yes,449.064129032
2,4,nonword,bleafs,no,579.280410428
2,5,word,moment,yes,448.627374601
2,6,word,mechanic,yes,426.750615705
2,7,word,oxford,yes,406.248262618
2,8,word,nescafe,yes,562.393537723
2,9,nonword,furge,no,512.473291252
2,10,word,pathetic,yes,400.585569907
2,11,word,cure,yes,508.762591984
2,12,word,lantern,yes,452.846669592
2,13,word,noun,yes,503.004394937
2,14,word,mercy,yes,431.112168822
2,15,nonword,quoud,no,594.568227883
2,16,word,gravity,yes,431.298046373
2,17,word,capacity,yes,674.767618068
2,18,word,robot,yes,564.063294791
2,19,word,carlsberg,no,682.163073216
2,20,word,hoover,yes,506.78180391
2,21,word,accurate,yes,402.854580898
2,22,word,butcher,yes,391.031147446
2,23,word,cabbage,yes,523.907580413
2,24,nonword,phroarlte,no,587.300777435
2,25,word,ducati,yes,1247.99391069
2,26,word,ornament,yes,506.259238813
2,27,nonword,skreets,no,634.291179944
2,28,word,desire,yes,508.978973608
2,29,word,turnip,yes,605.025807396
2,30,nonword,swawte,no,625.087700319
2,31,word,hold,yes,532.434547786
2,32,nonword,vourque,no,683.123247232
2,33,nonword,thrauphth,no,571.764648892
2,34,word,fantasy,yes,513.149233069
2,35,nonword,lawpth,no,585.249002557
2,36,word,errand,no,525.944530498
2,37,word,land,yes,365.356736816
2,38,word,where,yes,394.89550842
2,39,word,twin,yes,383.77795089
2,40,word,eternal,yes,460.605041124
2,41,word,inferno,yes,558.778628241
2,42,word,kleenex,yes,652.822152246
2,43,word,snickers,yes,462.799930014
2,44,word,kick,yes,696.935452055
2,45,word,flock,yes,521.531946026
2,46,word,jaw,yes,504.984327126
2,47,word,favourite,yes,385.089353658
2,48,nonword,duntz,no,829.919362906
2,49,word,asda,yes,521.102603991
2,50,nonword,brule,no,592.50761522
2,51,word,infant,yes,685.215504374
2,52,word,advantage,yes,469.857270829
2,53,word,doorway,yes,487.318310421
2,54,word,aldi,yes,472.093497403
2,55,nonword,spleace,no,585.518695414
2,56,word,pony,yes,502.305360045
2,57,word,expression,yes,550.330630038
2,58,word,advice,yes,556.395581923
2,59,word,haddock,yes,530.473145191
2,60,word,horizontal,yes,497.856569476
2,61,word,manchester,yes,474.663846195
2,62,word,absolute,yes,444.132115226
2,63,word,feet,yes,382.937227841
2,64,word,abandon,yes,459.795963019
2,65,word,butterfly,yes,469.92512187
2,66,word,brim,yes,815.431786235
2,67,nonword,wrarve,no,546.562058385
2,68,nonword,flewd,no,681.308095809
2,69,word,gracious,yes,530.623101164
2,70,word,graduate,yes,657.986797392
taskNr,question,response,RT
2,How tall is Big Ben?,35,19700.0506031
taskNr,trial,stimulus,response,RT
2,1,glhf,glhf,3586.26819029
2,2,whkjt,whkjt,3236.02137575
2,3,mwkctd,mwkctj,5337.55129809
2,4,vfrzwdm,vfrzwfm,9907.69836027
taskNr,trial,type,stimulus,response,RT
3,1,practice,carnival,yes,611.415758729
3,2,practice,thonz,no,479.445904028
3,3,practice,shrinths,yes,328.90345389
3,4,practice,carrier,yes,536.454281304
3,5,practice,portsmouth,yes,607.19133215
3,6,practice,involve,yes,587.265996728
3,7,practice,scrape,yes,599.928158335
3,8,practice,germany,yes,483.960834797
3,9,practice,dancer,yes,380.752032157
3,10,practice,click,yes,522.283436731
3,11,neutral,background,yes,473.708232865
3,12,inexpensive,nissan,yes,595.123578329
3,13,neutral,locust,yes,559.830886312
3,14,neutral,time,yes,541.891185101
3,15,neutral,write,yes,364.686211571
3,16,nonword,jouche,no,650.870728306
3,17,neutral,birthplace,yes,804.850478657
3,18,neutral,diary,yes,472.714703064
3,19,neutral,ordinate,yes,522.176528815
3,20,neutral,bait,yes,641.591700725
3,21,neutral,zoo,yes,436.257998459
3,22,neutral,capture,yes,471.092269756
3,23,neutral,democracy,yes,496.536329389
3,24,neutral,fracture,yes,481.293840799
3,25,neutral,costume,yes,434.765850194
3,26,neutral,paper,yes,397.603839636
3,27,inexpensive,fiat,yes,538.465573452
3,28,neutral,day,yes,433.206136804
3,29,inexpensive,hyundai,yes,580.041024368
3,30,neutral,always,yes,385.415208526
3,31,expensive,limousine,yes,454.252151307
3,32,expensive,bentley,yes,440.404310822
3,33,neutral,forest,yes,779.178919271
3,34,neutral,circus,yes,656.402566005
3,35,neutral,appetite,yes,482.425923459
3,36,neutral,drone,yes,595.180595759
3,37,neutral,soup,yes,383.907095995
3,38,inexpensive,kia,yes,364.748360123
3,39,expensive,lamborghini,yes,426.980966236
3,40,neutral,portrait,yes,510.454586241
3,41,neutral,observer,yes,382.591131609
3,42,expensive,rolls royce,yes,523.450015113
3,43,nonword,sowntse,no,674.852574244
3,44,nonword,kulced,no,644.163760357
3,45,neutral,bluster,yes,574.821642134
3,46,neutral,dove,yes,684.194321278
3,47,nonword,doarged,no,524.821856059
3,48,nonword,kirmbed,no,604.230983648
3,49,neutral,edit,yes,472.268540878
3,50,expensive,ferrari,yes,593.70583808
3,51,neutral,clay,yes,654.421778396
3,52,inexpensive,citroen,yes,520.401004236
3,53,neutral,cotton,yes,527.81498991
3,54,neutral,candle,yes,399.240526836
3,55,nonword,thourmb,no,563.386782538
3,56,neutral,stapler,yes,809.466330335
3,57,neutral,bottle,yes,533.341981005
3,58,inexpensive,volkswagen,yes,516.021490097
3,59,nonword,dwoacsed,no,555.516371969
3,60,neutral,piece,yes,441.478235647
3,61,neutral,crop,yes,428.328004666
3,62,nonword,durpths,no,479.887789581
3,63,expensive,maserati,yes,489.315348212
3,64,nonword,frirmths,no,594.111232553
3,65,inexpensive,peugeot,yes,526.815758087
3,66,nonword,twimed,no,870.191108435
3,67,nonword,vakes,no,519.398066215
3,68,neutral,liberal,yes,558.796588797
3,69,nonword,skronnth,no,476.853033062
3,70,expensive,porsche,yes,494.299532846
taskNr,taskId,acnhor,question,response,RT
3,cars,expensive,Thinking about the pictures you saw, what type of car describes these best? (type 1 for luxury, 2 for economy, 3 for people carrier, 4 for commercial),1,8573.20975745
3,cars,expensive,Thinking about the pictures you saw, how much would a car like those shown cost? (in pounds),100000,21716.5551735
